,Customer_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status
4666,1000755,F,36-45,0,B,3,1
4671,1000756,M,36-45,0,C,2,0
4672,1000757,M,26-35,12,A,1,0
4691,1000758,M,36-45,7,C,3,1
4693,1000759,F,55+,3,C,1,0
4694,1000760,M,55+,15,A,4,1
4697,1000761,M,18-25,7,C,3,0
4698,1000762,M,0-17,10,C,2,0
4700,1000764,M,18-25,20,C,2,0
4705,1000765,M,26-35,17,B,1,0
4720,1000766,F,26-35,7,C,3,1
4721,1000767,M,26-35,12,C,1,0
4728,1000769,M,46-50,17,C,4,1
4731,1000770,M,18-25,4,B,2,1
4755,1000771,F,51-55,1,C,0,0
4756,1000772,M,18-25,12,C,2,0
4762,1000773,M,26-35,6,B,3,0
4764,1000774,M,18-25,4,A,4,0
4771,1000775,M,0-17,17,C,1,0
4772,1000776,F,26-35,3,B,1,0
4777,1000777,M,18-25,19,B,1,0
4798,1000778,M,18-25,17,C,4,0
4802,1000779,M,26-35,0,B,2,1
4804,1000780,M,26-35,17,B,3,0
4819,1000783,M,26-35,4,A,2,0
4826,1000785,M,18-25,19,C,4,0
4829,1000786,M,26-35,0,C,2,0
4830,1000787,M,18-25,4,C,2,0
4833,1000788,M,26-35,0,C,1,0
4839,1000789,M,18-25,1,B,3,1
4843,1000791,M,36-45,7,B,1,0
4859,1000792,M,26-35,17,B,2,0
4866,1000793,F,36-45,14,C,1,0
4875,1000794,M,51-55,20,C,2,1
4878,1000795,F,36-45,14,B,1,0
4884,1000796,M,51-55,6,B,4,1
4901,1000797,F,51-55,7,C,1,0
4904,1000798,F,26-35,20,C,1,1
4915,1000799,F,26-35,5,C,3,1
4918,1000801,F,26-35,20,C,4,0
4929,1000802,M,26-35,16,B,1,0
4947,1000803,M,18-25,4,C,0,0
4949,1000804,M,26-35,20,C,0,0
4950,1000805,M,36-45,12,B,1,0
4953,1000806,M,36-45,0,C,3,1
4955,1000807,M,18-25,4,C,2,0
4956,1000808,M,26-35,7,B,1,1
4965,1000809,M,26-35,17,C,1,0
4970,1000810,M,26-35,12,C,4,0
4976,1000811,M,51-55,0,A,0,1
4978,1000812,M,26-35,6,C,2,0
4983,1000813,M,18-25,4,C,1,1
4986,1000814,F,18-25,4,B,1,0
4988,1000816,M,46-50,0,C,2,0
4995,1000817,M,18-25,4,B,2,0
5007,1000818,M,18-25,4,C,2,0
5016,1000819,M,36-45,7,A,1,0
5018,1000820,M,36-45,7,A,1,0
5020,1000821,M,18-25,2,C,2,0
5021,1000822,F,26-35,1,B,0,1
5031,1000823,M,26-35,0,C,1,0
5036,1000824,M,36-45,12,A,2,1
5052,1000825,M,55+,1,C,4,1
5054,1000826,F,36-45,1,C,1,1
5055,1000827,M,46-50,2,C,4,1
5056,1000828,M,18-25,4,C,2,0
5059,1000829,M,0-17,19,A,2,0
5067,1000830,M,36-45,7,A,3,0
5073,1000832,M,18-25,2,C,4,0
5080,1000833,M,36-45,7,C,1,1
5081,1000834,F,36-45,12,C,0,0
5083,1000835,M,55+,0,C,1,0
5085,1000836,M,26-35,11,A,4,0
5089,1000837,M,55+,7,C,1,1
5090,1000838,M,51-55,17,C,0,0
5100,1000839,M,26-35,0,A,2,0
5128,1000840,F,26-35,3,C,1,1
5135,1000842,F,18-25,0,B,3,0
5136,1000843,M,26-35,7,B,2,1
5142,1000844,M,26-35,0,B,3,1
5148,1000845,F,18-25,0,A,2,0
5149,1000846,M,26-35,5,C,3,1
5157,1000847,F,26-35,7,B,1,1
5159,1000848,M,26-35,15,B,0,0
5160,1000849,M,26-35,3,B,2,1
5165,1000850,M,36-45,0,A,3,1
5186,1000851,M,18-25,4,B,1,0
5188,1000852,M,26-35,5,C,1,0
5189,1000853,M,26-35,17,B,4,0
5196,1000854,F,26-35,16,B,1,0
5224,1000855,F,18-25,2,A,2,1
5256,1000856,F,46-50,6,B,1,0
5257,1000857,M,36-45,17,C,3,1
5262,1000858,M,36-45,14,B,4,0
5267,1000859,M,26-35,12,B,4,1
5276,1000860,M,18-25,0,C,0,0
5277,1000861,M,26-35,7,C,0,0
5282,1000862,M,36-45,7,A,0,1
5287,1000863,M,26-35,7,C,4,0
5289,1000864,F,26-35,0,B,3,0
5293,1000867,M,46-50,12,C,1,1
5295,1000868,M,51-55,17,C,4,0
5299,1000869,M,18-25,20,A,4,1
5349,1000870,F,26-35,1,B,4,1
5352,1000871,M,0-17,10,B,1,0
5353,1000872,M,51-55,1,B,3,1
5356,1000873,M,55+,6,C,3,1
5361,1000875,M,0-17,10,C,4,0
5363,1000877,M,26-35,0,B,1,1
5390,1000878,M,18-25,2,C,2,0
5392,1000880,M,36-45,17,A,1,0
5399,1000881,M,18-25,14,A,1,0
5433,1000882,M,18-25,2,C,4,0
5434,1000883,F,36-45,14,C,0,0
5435,1000884,M,0-17,10,C,3,0
5442,1000885,M,36-45,0,A,2,0
5444,1000886,F,55+,0,C,2,1
5446,1000887,F,55+,16,B,3,1
5453,1000888,F,0-17,10,C,1,0
5454,1000889,M,46-50,20,A,1,0
5539,1000890,M,18-25,4,C,4,0
5549,1000891,M,26-35,1,C,4,0
5562,1000892,M,36-45,0,C,1,0
5564,1000894,M,18-25,4,C,0,0
5568,1000895,M,51-55,1,C,1,1
5571,1000896,M,18-25,15,C,3,1
5572,1000897,M,26-35,6,B,4,0
5584,1000898,M,26-35,7,B,2,0
5585,1000899,F,26-35,1,B,3,1
5594,1000900,F,55+,13,C,2,1
5596,1000901,F,55+,0,C,0,1
5598,1000903,M,55+,13,C,2,1
5602,1000904,M,36-45,20,B,4,0
5616,1000905,F,46-50,12,C,1,0
5624,1000906,M,0-17,10,C,1,0
5625,1000908,F,51-55,1,A,3,0
5627,1000909,M,46-50,7,C,2,0
5630,1000910,F,51-55,0,B,1,1
5634,1000911,M,51-55,0,B,3,1
5657,1000912,F,36-45,2,B,1,0
5661,1000913,M,26-35,0,C,2,0
5662,1000914,F,36-45,9,C,2,0
5663,1000915,M,26-35,7,C,2,0
5668,1000917,M,51-55,6,C,2,1
5669,1000918,F,46-50,1,C,1,0
5673,1000919,F,36-45,1,C,1,0
5683,1000920,M,18-25,4,C,4,0
5690,1000921,M,26-35,17,B,1,0
5698,1000922,M,55+,16,B,2,1
5714,1000923,M,26-35,7,C,3,1
5716,1000924,M,51-55,17,C,1,1
5720,1000925,F,36-45,3,A,2,0
5725,1000926,M,0-17,10,C,1,0
5726,1000927,F,26-35,20,C,1,1
5732,1000928,F,55+,16,C,4,1
5746,1000929,M,26-35,15,A,1,0
5762,1000930,M,26-35,5,C,1,1
5765,1000931,F,55+,1,C,0,0
5770,1000932,F,36-45,6,C,0,0
5771,1000933,M,46-50,1,C,3,1
5773,1000934,F,36-45,7,A,0,0
5802,1000936,M,18-25,4,C,4,0
5807,1000937,M,26-35,15,A,2,1
5818,1000939,F,26-35,20,C,2,0
5821,1000940,M,0-17,10,C,4,0
5825,1000943,F,46-50,12,C,0,1
5830,1000944,M,36-45,0,A,3,1
5834,1000945,M,46-50,7,C,3,0
5842,1000949,M,51-55,17,B,4,1
5860,1000950,M,36-45,7,C,4,1
5864,1000951,M,46-50,2,B,4,1
5866,1000952,M,55+,16,C,0,1
5869,1000953,M,51-55,20,B,1,1
5879,1000954,F,26-35,0,B,1,1
5884,1000955,F,51-55,7,B,1,1
5895,1000956,M,36-45,1,A,3,1
5899,1000957,M,36-45,1,C,2,1
5910,1000958,M,36-45,2,C,3,0
5917,1000959,M,51-55,11,C,1,0
5919,1000960,M,0-17,10,C,4,0
5926,1000961,M,18-25,10,A,2,0
5927,1000963,M,26-35,0,A,0,1
5941,1000964,M,26-35,7,B,1,1
5942,1000966,M,55+,2,C,4,0
5948,1000967,F,18-25,0,B,3,0
5952,1000968,M,51-55,12,A,4,1
5955,1000969,F,26-35,11,C,3,1
5956,1000970,M,26-35,0,B,4,1
5976,1000971,M,26-35,12,B,2,1
5986,1000972,M,46-50,1,A,3,0
5987,1000973,F,26-35,1,C,1,1
5994,1000974,M,36-45,19,C,3,0
5996,1000975,M,36-45,0,B,2,1
6012,1000976,M,36-45,14,C,4,1
6016,1000977,M,26-35,2,C,0,0
6031,1000978,M,18-25,0,C,1,0
6032,1000979,M,0-17,10,A,1,0
6034,1000980,M,26-35,6,C,2,1
6038,1000981,M,26-35,20,B,2,1
6042,1000982,F,26-35,9,C,4,0
6043,1000983,F,26-35,16,C,2,1
6045,1000984,M,51-55,16,A,2,1
6074,1000985,M,26-35,4,C,0,0
6077,1000986,F,55+,0,C,1,1
6079,1000987,F,36-45,17,C,0,0
6085,1000988,M,51-55,11,B,4,0
6087,1000989,M,51-55,0,C,4,1
6089,1000990,M,18-25,6,C,2,0
6090,1000991,F,26-35,9,A,3,1
6092,1000992,F,36-45,3,B,2,0
6095,1000993,M,26-35,0,C,1,0
6097,1000995,F,18-25,4,C,3,0
6099,1000996,M,26-35,17,A,4,1
6112,1000997,M,0-17,19,C,2,0
6116,1000998,M,46-50,20,A,0,1
6122,1000999,M,26-35,15,B,2,0
6146,1001000,F,26-35,6,B,1,0
6150,1001002,M,51-55,11,B,1,0
6152,1001003,M,26-35,2,C,0,0
6153,1001004,M,26-35,3,B,2,0
6164,1001005,M,36-45,11,C,1,0
6168,1001006,M,18-25,4,C,4,0
6170,1001008,M,36-45,3,C,1,0
6172,1001009,M,51-55,7,C,1,1
6174,1001010,M,26-35,0,A,1,0
6213,1001011,M,26-35,8,C,4,1
6217,1001012,F,36-45,1,C,0,0
6219,1001013,M,55+,13,C,1,0
6221,1001015,M,36-45,3,A,4,1
6269,1001016,M,55+,16,C,3,0
6279,1001017,M,36-45,0,B,2,0
6299,1001018,M,18-25,4,A,4,0
6304,1001019,M,36-45,1,A,4,1
6340,1001021,M,36-45,0,C,3,0
6342,1001022,M,26-35,3,C,2,0
6355,1001023,M,55+,13,C,2,1
6356,1001024,F,36-45,1,C,1,0
6357,1001025,M,26-35,16,C,3,1
6359,1001026,F,46-50,0,C,1,1
6360,1001027,M,18-25,4,B,1,0
6361,1001028,F,46-50,7,C,0,1
6364,1001029,M,26-35,0,B,0,0
6377,1001030,M,26-35,7,C,2,1
6379,1001031,M,36-45,16,C,2,1
6385,1001032,M,51-55,16,C,0,1
6387,1001033,M,26-35,5,B,1,0
6395,1001035,M,18-25,2,C,1,1
6399,1001036,M,36-45,7,C,1,0
6402,1001037,M,46-50,7,C,1,1
6404,1001038,F,55+,15,C,2,1
6410,1001039,F,36-45,1,C,3,0
6411,1001040,M,26-35,11,C,1,1
6419,1001041,M,46-50,2,B,2,0
6422,1001042,M,36-45,5,C,3,1
6424,1001043,F,51-55,11,C,4,0
6426,1001044,M,26-35,20,A,0,0
6431,1001045,F,0-17,10,C,2,0
6432,1001047,M,18-25,0,B,4,0
6433,1001048,M,36-45,6,C,4,0
6434,1001049,M,46-50,14,C,3,1
6435,1001050,M,26-35,1,B,1,0
6457,1001051,F,26-35,0,A,0,1
6501,1001052,F,36-45,2,C,1,0
6508,1001053,M,36-45,0,C,2,1
6520,1001054,M,0-17,10,C,1,0
6524,1001055,M,36-45,0,A,1,1
6530,1001056,M,0-17,0,C,1,0
6531,1001057,M,46-50,17,B,1,1
6541,1001058,M,26-35,1,B,2,0
6560,1001059,F,26-35,0,B,3,0
6576,1001060,M,18-25,10,C,1,0
6582,1001061,M,46-50,0,C,0,1
6584,1001062,M,51-55,19,C,3,0
6595,1001063,M,36-45,7,B,1,0
6601,1001064,M,26-35,7,C,1,0
6603,1001065,F,26-35,0,B,3,0
6605,1001066,M,46-50,12,C,3,1
6612,1001067,M,36-45,12,B,3,1
6613,1001068,F,18-25,4,B,2,0
6638,1001069,M,26-35,20,A,4,0
6672,1001071,M,51-55,16,C,0,0
6678,1001072,F,36-45,7,C,2,0
6682,1001073,F,26-35,6,C,4,0
6685,1001074,M,46-50,17,A,4,1
6689,1001075,F,26-35,6,A,1,1
6693,1001076,F,26-35,3,C,1,1
6696,1001077,M,26-35,3,A,1,0
6707,1001078,F,46-50,9,C,1,1
6711,1001079,M,26-35,7,A,0,0
6716,1001081,M,18-25,4,C,1,1
6719,1001083,M,55+,0,B,1,1
6720,1001084,M,0-17,19,C,0,0
6725,1001086,M,18-25,4,A,2,0
6743,1001087,M,26-35,16,B,1,0
6759,1001088,F,0-17,10,A,3,0
6813,1001089,M,36-45,6,C,2,1
6816,1001090,M,26-35,7,C,1,1
6820,1001091,M,18-25,5,C,0,0
6822,1001092,F,18-25,4,C,2,0
6823,1001093,M,51-55,14,C,2,1
6827,1001094,F,18-25,0,C,1,0
6838,1001096,M,0-17,10,C,1,0
6850,1001097,M,18-25,17,A,4,0
6862,1001098,M,36-45,7,C,4,1
6863,1001099,M,26-35,17,C,4,0
6868,1001100,M,26-35,0,B,0,1
6892,1001101,M,36-45,1,A,1,0
6915,1001102,M,18-25,1,A,2,0
6916,1001103,F,46-50,7,C,2,0
6917,1001104,M,36-45,11,A,1,0
6920,1001106,M,18-25,4,C,2,0
6925,1001107,F,51-55,1,C,1,1
6928,1001108,M,55+,1,B,2,0
6929,1001109,M,18-25,10,C,1,0
6931,1001110,F,55+,6,B,3,1
6932,1001111,F,51-55,16,C,1,1
6934,1001112,M,18-25,6,A,4,0
6966,1001113,M,18-25,4,B,3,0
6975,1001114,F,18-25,9,A,2,0
6984,1001116,M,26-35,15,B,3,0
6993,1001117,M,18-25,14,B,3,0
7035,1001118,M,51-55,13,C,1,1
7036,1001119,M,36-45,1,B,2,1
7055,1001120,M,18-25,4,A,0,1
7088,1001121,M,55+,7,C,4,1
7096,1001122,M,55+,14,C,0,1
7099,1001124,M,26-35,2,B,4,1
7117,1001125,F,18-25,4,B,2,0
7135,1001126,M,55+,16,C,0,0
7136,1001127,M,26-35,0,C,1,0
7138,1001128,M,26-35,1,A,2,0
7166,1001129,M,36-45,17,C,2,0
7171,1001130,M,18-25,7,C,1,0
7181,1001131,M,55+,13,C,4,1
7186,1001132,M,18-25,12,A,1,1
7192,1001133,M,18-25,2,C,0,0
7200,1001134,M,18-25,20,C,1,0
7205,1001135,M,51-55,13,C,1,1
7208,1001136,F,36-45,7,C,3,0
7212,1001137,M,18-25,4,B,4,0
7229,1001138,M,18-25,12,C,4,0
7233,1001139,M,26-35,1,C,2,0
7239,1001140,F,46-50,2,B,2,1
7262,1001141,F,26-35,3,B,1,1
7279,1001142,M,18-25,1,B,1,0
7288,1001143,M,51-55,7,C,4,1
7292,1001145,M,51-55,3,A,2,1
7295,1001146,F,18-25,16,B,2,1
7307,1001147,M,26-35,20,B,3,1
7319,1001148,M,36-45,17,C,1,1
7321,1001149,M,26-35,12,A,1,1
7324,1001150,F,26-35,20,A,1,0
7383,1001151,M,26-35,15,C,2,1
7397,1001152,M,18-25,4,C,2,0
7401,1001153,M,18-25,10,C,0,0
7408,1001155,M,26-35,12,C,0,0
7415,1001156,F,51-55,2,A,4,0
7417,1001158,F,36-45,1,C,2,1
7421,1001159,M,18-25,0,C,3,1
7423,1001160,M,18-25,14,C,1,0
7429,1001161,M,26-35,0,A,1,0
7435,1001162,F,36-45,0,B,4,0
7443,1001163,M,0-17,10,C,2,0
7446,1001164,F,26-35,19,A,1,1
7465,1001165,M,26-35,12,B,1,1
7471,1001166,M,55+,6,C,3,1
7473,1001168,F,26-35,0,A,1,1
7482,1001169,M,26-35,20,B,3,0
7487,1001170,M,55+,3,A,2,1
7493,1001172,F,26-35,0,A,2,1
7515,1001173,F,26-35,7,A,3,0
7526,1001174,F,18-25,16,C,0,0
7529,1001175,F,26-35,2,A,1,0
7531,1001176,M,55+,1,C,1,1
7535,1001177,F,26-35,17,C,2,1
7542,1001178,M,55+,0,C,1,1
7543,1001179,M,51-55,1,B,2,1
7553,1001180,F,51-55,20,C,0,1
7554,1001181,M,36-45,7,A,3,1
7624,1001182,M,0-17,10,B,3,0
7642,1001183,M,36-45,19,B,1,0
7654,1001184,F,26-35,4,C,1,1
7661,1001185,F,36-45,1,C,3,0
7664,1001186,M,18-25,19,A,1,1
7670,1001187,F,0-17,0,A,2,0
7671,1001188,M,46-50,7,C,2,0
7672,1001189,M,26-35,0,C,1,0
7673,1001190,M,46-50,0,C,2,0
7675,1001191,F,36-45,0,B,3,1
7677,1001193,M,26-35,12,C,3,1
7688,1001194,F,26-35,1,B,1,1
7713,1001195,F,0-17,10,C,1,0
7714,1001196,F,18-25,14,C,3,0
7717,1001198,M,0-17,10,C,1,0
7724,1001199,M,51-55,13,C,4,1
7730,1001201,M,18-25,4,C,4,0
7731,1001202,M,36-45,12,B,0,0
7747,1001203,F,26-35,1,A,3,0
7773,1001204,M,26-35,7,B,4,0
7780,1001205,F,55+,0,C,1,1
7784,1001206,F,51-55,7,C,1,1
7791,1001208,M,26-35,0,C,1,1
7793,1001209,M,36-45,7,C,1,1
7800,1001210,M,26-35,17,C,1,1
7801,1001211,M,18-25,4,A,1,0
7812,1001212,F,51-55,1,C,1,0
7814,1001214,M,55+,13,C,1,1
7815,1001215,M,36-45,17,C,0,0
7821,1001216,M,26-35,2,A,1,1
7827,1001217,M,26-35,12,A,3,0
7829,1001218,M,55+,15,B,0,1
7835,1001219,M,26-35,7,C,3,1
7845,1001220,M,0-17,10,A,3,0
7855,1001221,M,18-25,0,B,1,0
7870,1001222,M,36-45,0,C,4,0
7874,1001223,M,26-35,2,C,4,0
7879,1001224,M,51-55,13,B,4,0
7910,1001225,M,46-50,7,C,1,1
7911,1001226,M,18-25,20,C,2,0
7913,1001227,M,51-55,1,B,2,0
7918,1001228,M,26-35,1,C,4,1
7924,1001230,M,26-35,11,B,2,0
7933,1001231,M,26-35,12,C,1,0
7939,1001232,F,18-25,4,C,2,0
7945,1001233,F,46-50,20,C,1,1
7948,1001234,M,18-25,4,B,2,0
7949,1001235,F,26-35,7,A,1,0
7953,1001236,F,26-35,1,C,1,0
7954,1001237,M,18-25,4,C,1,1
7955,1001238,F,36-45,20,A,1,0
7957,1001239,F,26-35,20,B,1,0
7961,1001241,M,0-17,10,B,1,0
7972,1001242,F,36-45,0,A,0,1
7995,1001243,M,36-45,15,B,4,1
8010,1001244,M,26-35,4,A,4,1
8033,1001246,M,18-25,4,A,2,0
8052,1001247,M,36-45,0,B,2,0
8053,1001248,F,36-45,20,B,4,0
8057,1001249,M,36-45,2,C,2,0
8059,1001250,M,51-55,0,C,1,1
8060,1001251,M,26-35,7,C,0,1
8061,1001252,M,55+,13,C,3,0
8066,1001253,F,36-45,20,C,1,1
8068,1001254,F,18-25,1,B,2,0
8073,1001255,M,26-35,17,A,4,0
8086,1001256,M,26-35,20,B,4,0
8088,1001257,F,18-25,14,C,3,1
8090,1001258,M,46-50,7,C,1,0
8091,1001259,M,36-45,7,C,2,1
8092,1001260,M,26-35,17,B,0,0
8118,1001261,M,18-25,4,C,2,0
8125,1001262,M,26-35,4,A,0,1
8136,1001263,M,0-17,10,B,4,0
8144,1001264,M,26-35,1,A,3,0
8169,1001265,F,18-25,20,B,0,1
8183,1001266,M,26-35,4,B,0,1
8208,1001267,M,26-35,15,C,1,0
8212,1001268,M,51-55,2,B,1,1
8223,1001269,F,55+,13,C,2,1
8224,1001270,M,26-35,6,C,1,0
8227,1001271,F,46-50,6,C,3,1
8231,1001272,M,18-25,20,B,0,0
8244,1001273,M,36-45,2,C,3,1
8262,1001274,M,46-50,7,B,4,1
8287,1001275,M,51-55,17,C,1,1
8288,1001276,M,36-45,17,B,2,0
8293,1001277,F,18-25,0,C,1,0
8294,1001278,M,18-25,4,C,3,0
8295,1001279,M,36-45,1,A,2,0
8316,1001280,M,0-17,10,C,1,0
8317,1001281,M,26-35,19,C,1,0
8321,1001283,F,18-25,1,C,3,0
8324,1001284,M,46-50,16,A,1,1
8343,1001285,M,36-45,4,A,0,1
8384,1001286,M,36-45,17,A,1,0
8387,1001287,F,51-55,7,B,3,0
8390,1001288,F,36-45,19,C,1,0
8397,1001289,M,46-50,6,C,0,0
8398,1001291,F,36-45,0,A,3,0
8411,1001292,M,26-35,7,C,3,0
8412,1001293,M,26-35,5,C,1,0
8415,1001294,F,51-55,20,B,4,1
8422,1001295,F,36-45,6,C,1,1
8424,1001296,M,0-17,0,C,4,0
8429,1001297,M,26-35,7,A,4,0
8449,1001298,M,36-45,6,B,4,0
8469,1001299,M,26-35,14,B,1,0
8481,1001300,M,0-17,10,C,3,0
8484,1001301,F,26-35,2,C,1,1
8496,1001302,M,18-25,4,C,2,0
8499,1001303,M,26-35,19,A,4,0
8517,1001304,M,26-35,14,C,1,1
8523,1001305,M,46-50,20,B,4,1
8525,1001306,M,26-35,3,B,3,0
8545,1001307,M,55+,13,C,2,1
8548,1001311,M,18-25,10,C,1,0
8554,1001312,M,26-35,14,B,2,1
8559,1001313,M,18-25,4,B,4,1
8560,1001314,F,18-25,4,C,0,0
8570,1001315,M,36-45,7,C,2,1
8575,1001316,M,51-55,2,C,2,0
8576,1001317,M,46-50,7,B,3,1
8608,1001319,F,26-35,3,C,2,1
8610,1001320,M,26-35,4,A,2,0
8618,1001321,F,26-35,14,C,3,1
8624,1001322,M,55+,0,A,0,0
8644,1001323,F,36-45,2,C,1,0
8650,1001324,M,36-45,16,B,3,0
8655,1001325,M,26-35,1,B,1,1
8667,1001326,F,26-35,0,A,1,0
8669,1001327,M,0-17,10,B,0,0
8671,1001328,M,36-45,14,A,1,0
8679,1001329,M,18-25,14,B,3,0
8692,1001331,M,46-50,0,C,4,1
8700,1001332,M,26-35,7,C,3,0
8701,1001333,M,26-35,17,A,4,0
8717,1001334,M,51-55,7,C,0,1
8720,1001335,M,36-45,0,C,1,0
8731,1001336,F,51-55,20,B,4,1
8732,1001337,M,55+,17,C,1,1
8733,1001338,M,26-35,0,A,3,1
8739,1001339,M,36-45,18,C,2,0
8748,1001340,M,26-35,7,A,2,0
8779,1001341,M,18-25,7,C,3,0
8782,1001342,M,36-45,0,C,4,0
8784,1001343,M,36-45,14,B,3,0
8791,1001344,F,26-35,9,C,4,0
8795,1001345,F,26-35,2,C,1,1
8805,1001346,M,36-45,20,C,1,0
8807,1001347,F,18-25,1,C,0,0
8813,1001348,F,0-17,10,A,3,0
8815,1001349,M,51-55,7,B,3,1
8817,1001350,F,36-45,0,C,1,0
8820,1001351,F,26-35,17,C,4,1
8822,1001352,M,36-45,20,B,2,0
8823,1001353,M,0-17,10,C,0,0
8826,1001354,F,26-35,2,B,3,0
8859,1001355,F,46-50,20,A,3,0
8862,1001356,F,18-25,4,B,2,0
8882,1001357,M,46-50,0,C,1,1
8885,1001358,M,36-45,17,C,1,1
8895,1001359,M,36-45,1,C,2,0
8897,1001360,M,26-35,20,C,1,1
8902,1001361,F,26-35,0,A,1,0
8910,1001362,M,36-45,12,B,0,0
8919,1001364,F,46-50,2,A,0,0
8923,1001365,F,0-17,10,C,3,0
8924,1001366,M,0-17,10,C,0,0
8931,1001367,M,26-35,12,C,1,0
8939,1001369,M,26-35,5,B,1,1
8956,1001370,M,36-45,2,C,2,1
8965,1001371,F,51-55,2,A,3,1
8968,1001372,M,0-17,10,B,1,0
8972,1001373,F,26-35,1,A,1,0
8975,1001374,M,51-55,1,B,3,0
8978,1001375,F,46-50,5,B,2,1
8981,1001376,F,46-50,1,C,1,1
8984,1001377,M,36-45,16,B,3,1
9005,1001378,F,46-50,7,C,3,1
9006,1001380,M,0-17,10,C,0,0
9016,1001381,M,18-25,11,C,1,0
9017,1001383,F,26-35,7,A,1,0
9048,1001384,M,18-25,10,C,1,0
9050,1001385,F,26-35,5,C,1,1
9051,1001386,F,26-35,0,B,1,0
9058,1001387,F,51-55,13,B,1,1
9065,1001388,M,55+,20,C,2,1
9066,1001389,M,26-35,17,B,4,1
9087,1001390,M,36-45,16,C,3,1
9101,1001391,M,36-45,15,C,0,1
9111,1001392,M,46-50,3,C,1,1
9123,1001393,M,18-25,4,B,3,0
9127,1001395,M,26-35,2,B,1,1
9138,1001396,F,26-35,12,A,4,1
9144,1001397,M,36-45,7,C,3,1
9147,1001398,F,55+,16,C,3,1
9148,1001399,M,18-25,17,C,1,0
9155,1001400,M,26-35,7,B,4,0
9161,1001401,F,18-25,1,C,3,0
9165,1001402,M,18-25,4,C,3,0
9166,1001403,F,26-35,0,C,4,1
9169,1001404,M,51-55,16,B,1,1
9182,1001405,M,55+,13,C,1,1
9183,1001406,M,26-35,4,C,2,1
9184,1001407,F,36-45,15,A,1,1
9186,1001408,M,26-35,0,B,1,1
9191,1001409,M,18-25,4,B,1,1
9193,1001410,M,51-55,7,B,3,1
9196,1001411,M,36-45,1,C,2,0
9198,1001412,M,26-35,17,C,4,1
9199,1001413,M,18-25,3,B,1,1
9205,1001414,M,18-25,4,C,4,0
9210,1001415,M,46-50,14,C,1,0
9225,1001417,M,36-45,16,C,2,0
9226,1001418,M,18-25,4,A,1,1
9236,1001420,M,18-25,4,C,3,0
9244,1001421,F,0-17,10,A,1,0
9250,1001422,M,36-45,17,B,3,0
9285,1001423,M,26-35,4,C,2,1
9288,1001424,M,36-45,0,C,2,1
9290,1001425,M,0-17,10,B,1,0
9313,1001426,M,18-25,14,B,3,0
9330,1001427,M,26-35,12,C,2,0
9335,1001428,F,46-50,11,C,2,1
9337,1001429,F,36-45,3,C,4,0
9338,1001430,M,18-25,4,B,2,1
9346,1001432,M,36-45,1,C,2,1
9347,1001433,F,18-25,14,C,1,0
9351,1001434,F,0-17,10,A,0,0
9361,1001436,F,51-55,6,B,1,1
9365,1001437,M,51-55,3,C,4,0
9372,1001438,M,18-25,2,C,0,0
9373,1001439,M,36-45,3,C,1,1
9375,1001440,M,36-45,12,C,1,0
9383,1001441,M,36-45,16,C,3,1
9386,1001442,M,18-25,2,A,3,0
9393,1001443,M,36-45,2,C,0,1
9396,1001444,F,26-35,4,B,1,0
9397,1001446,M,36-45,12,B,4,1
9399,1001447,M,18-25,4,A,0,0
9438,1001448,F,26-35,3,A,1,0
9471,1001449,M,36-45,20,A,1,1
9523,1001450,M,18-25,4,B,2,1
9531,1001451,M,36-45,20,B,0,0
9560,1001454,M,18-25,4,C,2,0
9561,1001455,F,46-50,0,B,1,1
9563,1001457,M,26-35,1,B,1,1
9577,1001458,M,0-17,0,B,2,0
9579,1001459,F,26-35,0,C,0,0
9580,1001460,F,18-25,4,C,3,1
9583,1001461,F,46-50,0,B,2,1
9585,1001463,M,51-55,16,C,4,1
9587,1001464,M,36-45,12,C,3,1
9589,1001465,M,51-55,16,B,4,1
9626,1001466,M,18-25,4,C,3,1
9636,1001467,M,26-35,5,C,2,0
9642,1001468,M,0-17,14,B,1,0
9644,1001469,M,55+,20,C,1,0
9648,1001470,M,18-25,4,A,1,1
9674,1001472,M,26-35,7,C,1,0
9687,1001473,M,26-35,14,B,0,0
9698,1001474,M,26-35,4,A,2,1
9704,1001475,F,26-35,2,B,3,0
9707,1001476,F,18-25,0,B,0,0
9713,1001478,M,0-17,10,C,2,0
9714,1001479,F,51-55,2,B,1,0
9717,1001480,M,26-35,20,C,1,0
9719,1001481,M,36-45,17,C,4,0
9720,1001482,M,26-35,7,C,3,0
9724,1001483,M,18-25,4,B,1,0
9733,1001484,M,26-35,12,C,1,0
9747,1001485,F,26-35,9,C,3,1
9748,1001486,M,26-35,16,C,4,1
9752,1001487,M,36-45,7,C,2,1
9753,1001489,F,36-45,2,A,2,1
9770,1001490,M,51-55,7,B,4,1
9776,1001491,M,18-25,4,B,1,0
9785,1001492,M,26-35,12,A,0,1
9796,1001494,M,26-35,17,C,3,1
9798,1001495,M,18-25,0,C,1,0
9807,1001496,M,26-35,17,A,2,0
9834,1001497,M,51-55,5,C,1,1
9842,1001498,M,18-25,4,A,2,0
9850,1001499,M,0-17,10,C,1,0
9853,1001500,M,26-35,17,A,2,0
9855,1001501,M,26-35,11,A,3,0
